feature,importance
feature_422,19
feature_35,16
feature_254,9
feature_155,8
feature_334,8
feature_94,7
feature_29,7
feature_34,7
feature_15,7
feature_386,7
feature_270,6
feature_31,6
feature_338,6
feature_86,6
feature_424,6
feature_72,6
feature_149,6
feature_445,6
feature_81,6
feature_418,5
feature_398,5
feature_300,5
feature_373,5
feature_107,5
feature_221,5
feature_30,5
feature_110,5
feature_65,5
feature_6,5
feature_17,4
feature_430,4
feature_278,4
feature_284,4
feature_448,4
feature_44,4
feature_360,4
feature_56,4
feature_194,4
feature_202,4
feature_20,4
feature_182,4
feature_124,4
feature_91,4
feature_433,4
feature_410,4
feature_117,4
feature_3,3
feature_184,3
feature_411,3
feature_436,3
feature_432,3
feature_164,3
feature_385,3
feature_240,3
feature_25,3
feature_216,3
feature_224,3
feature_129,3
feature_141,3
feature_380,3
feature_10,3
feature_384,3
feature_357,3
feature_308,3
feature_322,3
feature_26,3
feature_317,3
feature_335,3
feature_69,3
feature_193,3
feature_181,2
feature_444,2
feature_443,2
feature_428,2
feature_145,2
feature_103,2
feature_372,2
feature_204,2
feature_158,2
feature_296,2
feature_310,2
feature_369,2
feature_53,2
feature_293,2
feature_178,2
feature_95,2
feature_406,2
feature_383,2
feature_346,2
feature_447,2
feature_80,2
feature_307,2
feature_50,2
feature_352,2
feature_407,2
feature_43,2
feature_87,2
feature_67,2
feature_70,2
feature_41,2
feature_12,2
feature_88,2
feature_166,2
feature_409,2
feature_51,2
feature_183,2
feature_23,1
feature_18,1
feature_102,1
feature_333,1
feature_368,1
feature_63,1
feature_73,1
feature_314,1
feature_298,1
feature_297,1
feature_323,1
feature_93,1
feature_423,1
feature_38,1
feature_397,1
feature_42,1
feature_391,1
feature_13,1
feature_392,1
feature_376,1
feature_345,1
feature_347,1
feature_371,1
feature_354,1
feature_355,1
feature_356,1
feature_27,1
feature_272,1
feature_280,1
feature_247,1
feature_208,1
feature_143,1
feature_125,1
feature_126,1
feature_262,1
feature_120,1
feature_295,1
feature_259,1
feature_258,1
feature_253,1
feature_255,1
feature_277,1
feature_276,1
feature_48,1
feature_118,1
feature_292,1
feature_219,1
feature_220,1
feature_132,1
feature_133,1
feature_201,1
feature_170,1
feature_190,1
feature_452,1
feature_156,1
feature_449,1
feature_450,1
feature_414,1
feature_19,1
feature_4,0
feature_439,0
feature_8,0
feature_40,0
feature_71,0
feature_68,0
feature_66,0
feature_64,0
feature_393,0
feature_421,0
feature_420,0
feature_419,0
feature_417,0
feature_37,0
feature_36,0
feature_33,0
feature_32,0
feature_396,0
feature_395,0
feature_163,0
feature_162,0
feature_161,0
feature_160,0
feature_159,0
feature_157,0
feature_154,0
feature_153,0
feature_152,0
feature_151,0
feature_150,0
feature_148,0
feature_147,0
